,Unnamed: 0,id,last_scraped,source,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,27262,2024-12-25,city scrape,37177,within an hour,100%,100%,t,4,12,"['email', 'phone']",,37.98924,23.765,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Heating - split type ductless system"", ""Dishes and silverware"", ""Shower gel"", ""Hair dryer"", ""Refrigerator"", ""Other electric stove"", ""Essentials"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Drying rack for clothing"", ""Fast wifi \u2013 168 Mbps"", ""Hangers"", ""Crib"", ""Hot water"", ""Oven"", ""Keypad"", ""Laundromat nearby"", ""43 inch HDTV"", ""Microwave"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""AC - split type ductless system"", ""Shampoo"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Coffee maker""]",131.0,1,1125,2,3,1125,1125,2.3,1125.0,20,50,80,355,29,5,0,4.86,4.89,4.9,4.86,4.97,4.75,4.71,00002433111,1,1,0,0,0.19
1,1,809874,2024-12-25,city scrape,4259738,within an hour,100%,96%,f,2,2,"['email', 'phone']",,37.96215,23.72179,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Host greets you"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Oven"", ""Stove"", ""Air conditioning"", ""Iron"", ""Shampoo"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Elevator"", ""Wifi""]",108.0,4,90,4,4,1125,1125,4.0,1125.0,0,22,52,327,97,6,0,4.96,4.97,4.97,4.89,4.92,4.86,4.91,00001240742,1,1,0,0,0.68
6,6,912425,2024-12-25,city scrape,4895605,,,100%,t,1,1,"['email', 'phone']","Athina, Attica, Greece",37.99374,23.73083,Entire rental unit,Entire home/apt,6,1.5,3.0,5.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Exterior security cameras on property"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Dedicated workspace"", ""Cooking basics"", ""Portable heater"", ""Clothing storage"", ""Pets allowed"", ""Hangers"", ""Freezer"", ""Patio or balcony"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Stove"", ""Laundromat nearby"", ""Long term stays allowed"", ""Window AC unit"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""First aid kit"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Portable fans"", ""Wifi""]",100.0,3,30,3,3,1125,1125,3.0,1125.0,0,22,52,312,76,7,0,4.91,4.92,4.88,4.97,4.97,4.61,4.84,00000348986,1,1,0,0,0.83
8,8,49489,2024-12-26,city scrape,225612,within an hour,100%,79%,f,1,2,"['email', 'phone', 'work_email']","Athens, Αττική, Greece",37.9767,23.73064,Entire rental unit,Entire home/apt,7,1.5,3.0,4.0,"[""Dishes and silverware"", ""Washer"", ""Children\u2019s books and toys"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Hangers"", ""Patio or balcony"", ""High chair"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""Paid parking off premises"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",200.0,2,365,2,2,1125,1125,2.0,1125.0,21,51,81,354,140,4,0,4.68,4.78,4.69,4.84,4.86,4.88,4.7,00000876484,1,1,0,0,0.86
18,18,956538,2024-12-25,city scrape,229526838,within an hour,100%,100%,t,18,20,"['email', 'phone']","Athens, Attica, Greece",37.98058,23.72337,Entire condo,Entire home/apt,5,1.5,2.0,2.0,"[""Heating - split type ductless system"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Toaster"", ""Teka stainless steel gas stove"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Ceiling fan"", ""Dedicated workspace"", ""Cooking basics"", ""Drying rack for clothing"", ""Ethernet connection"", ""Crib - available upon request"", ""Sun loungers"", ""Hangers"", ""Freezer"", ""Clothing storage: closet"", ""Hot water"", ""Books and reading material"", ""Blender"", ""Laundromat nearby"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""24 inch HDTV with standard cable"", ""City skyline view"", ""Iron"", ""Bed linens"", ""AC - split type ductless system"", ""Paid parking garage off premises"", ""Sound system with aux"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Teka stainless steel single oven"", ""Babysitter recommendations"", ""First aid kit"", ""Dining table"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Kitchen"", ""Various shampoo"", ""Various body soap"", ""Elevator"", ""Wifi"", ""Coffee maker: espresso machine""]",140.0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,84,35,0,4.88,4.94,4.98,4.88,4.94,4.69,4.86,00001936549,11,8,3,0,0.62
25,25,469140,2024-12-25,city scrape,2289590,within an hour,100%,100%,t,8,8,"['email', 'phone']","Athens, Attica, Greece",37.97665,23.7185,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Dishes and silverware"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Private entrance"", ""Pets allowed"", ""Hangers"", ""Patio or balcony"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""City skyline view"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Single level home"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Elevator"", ""Wifi"", ""Coffee maker""]",132.0,1,1125,2,2,20,1125,2.0,1025.1,17,42,64,332,112,31,1,4.77,4.73,4.87,4.92,4.87,4.9,4.73,00000546911,8,8,0,0,0.73
28,28,1004858,2024-12-25,city scrape,5527135,,,,f,1,1,"['email', 'phone']",,37.98599,23.71586,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Smoking allowed"", ""Shower gel"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Pool"", ""Heating"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Stove"", ""Baking sheet"", ""Paid parking on premises"", ""Microwave"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Dishwasher"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""TV with standard cable"", ""Wifi"", ""Coffee maker""]",150.0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,30,0,0,4.83,4.8,4.77,4.83,4.83,4.37,4.53,,1,1,0,0,0.21
29,29,1021237,2024-12-25,city scrape,5620986,within a day,100%,100%,t,1,1,"['email', 'phone']","Athens, Attica, Greece",37.97874,23.74259,Entire condo,Entire home/apt,5,1.0,2.0,2.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Toaster"", ""Clothing storage: wardrobe and dresser"", ""Hair dryer"", ""Refrigerator"", ""Fast wifi \u2013 93 Mbps"", ""Free dryer \u2013 In unit"", ""Dedicated workspace"", ""Park view"", ""Safe"", ""Cooking basics"", ""Drying rack for clothing"", ""Hangers"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Blender"", ""Baking sheet"", ""Microwave"", ""Long term stays allowed"", ""Window AC unit"", ""Iron"", ""Room-darkening shades"", ""Cleaning available during stay"", ""Bed linens"", ""Paid parking garage off premises"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Single level home"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Kitchen"", ""Body soap"", ""Carbon monoxide alarm"", ""Stainless steel induction stove"", ""Elevator"", ""TV with standard cable"", ""Coffee maker: espresso machine""]",110.0,3,1000,3,3,1125,1125,3.0,1125.0,22,52,80,281,62,7,0,4.94,5.0,5.0,5.0,4.98,4.89,4.89,00000362005,1,1,0,0,0.45
35,35,1208210,2024-12-26,city scrape,594546,within an hour,100%,100%,,3,5,"['email', 'phone']","Athina, Greece",37.96845,23.72873,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Children\u2019s books and toys"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Safe"", ""Cooking basics"", ""Self check-in"", ""Lockbox"", ""Drying rack for clothing"", ""Ethernet connection"", ""Crib - available upon request"", ""Hangers"", ""Freezer"", ""High chair"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Stove"", ""Blender"", ""Microwave"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Clothing storage: wardrobe"", ""Room-darkening shades"", ""Bed linens"", ""Paid parking garage off premises"", ""Shampoo"", ""Mosquito net"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Single level home"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Free street parking"", ""Kitchen"", ""Body soap"", ""Carbon monoxide alarm"", ""Pack \u2019n play/Travel crib - available upon request"", ""TV with standard cable"", ""Wifi"", ""Coffee maker""]",100.0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,12,234,420,52,1,5.0,4.99,4.99,4.98,4.97,4.98,4.97,00002409903,1,1,0,0,3.0
40,40,496561,2024-12-25,city scrape,2371962,within an hour,100%,97%,t,2,2,"['email', 'phone']",,37.97277,23.72745,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Dishes and silverware"", ""Washer"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Air conditioning"", ""Iron"", ""Shampoo"", ""Kitchen"", ""Wifi"", ""Coffee maker""]",120.0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,23,0,0,4.91,4.87,4.87,4.87,4.83,5.0,4.74,00000223898,2,2,0,0,0.23
