,Unnamed: 0,id,last_scraped,source,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
79,79,1473284,2024-12-25,city scrape,6993450,a few days or more,0%,0%,f,2,2,"['email', 'phone']",,37.96685,23.72056,Private room in home,Private room,2,1.0,1.0,1.0,"[""Long term stays allowed"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Refrigerator"", ""Stove"", ""Heating"", ""Cooking basics"", ""Wifi""]",40.0,2,1125,2,2,1125,1125,2.0,1125.0,29,59,89,364,15,0,0,4.73,4.87,5.0,5.0,5.0,4.73,4.8,,2,1,1,0,0.11
82,82,726412,2024-12-25,city scrape,2534881,within an hour,100%,97%,t,3,3,"['email', 'phone']",,37.97313,23.715,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Kitchen"", ""Washer"", ""Hangers"", ""Patio or balcony"", ""TV"", ""Shampoo"", ""Essentials"", ""Lockbox"", ""Heating"", ""Self check-in"", ""Wifi""]",50.0,60,60,60,60,60,60,60.0,60.0,23,53,83,83,4,0,0,4.75,4.75,4.5,4.25,4.5,4.75,4.5,7608173,2,1,1,0,0.03
108,108,1826249,2024-12-25,city scrape,9556344,within an hour,100%,100%,t,1,2,"['email', 'phone']","Athens, Attica, Greece",37.99433,23.74989,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Host greets you"", ""Coffee"", ""Dishes and silverware"", ""Cleaning products"", ""Shower gel"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Drying rack for clothing"", ""Hangers"", ""Hot water"", ""Portable air conditioning"", ""City skyline view"", ""Iron"", ""Clothing storage: wardrobe"", ""Bed linens"", ""Shampoo"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Free street parking"", ""Shared patio or balcony"", ""Wifi""]",35.0,3,6,3,3,1125,1125,3.0,1125.0,0,27,57,237,378,46,0,4.93,4.92,4.91,4.94,4.98,4.68,4.93,00000128461,1,0,1,0,2.94
116,116,3842078,2024-12-25,city scrape,19287310,within an hour,100%,100%,f,1,1,['phone'],,37.98618325292961,23.74996300484628,Private room in rental unit,Private room,2,1.5,1.0,1.0,"[""Host greets you"", ""Breakfast"", ""Exercise equipment: free weights"", ""Coffee"", ""Dishes and silverware"", ""Washer"", ""Cleaning products"", ""Shower gel"", ""Hair dryer"", ""Other electric stove"", ""Heating"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Ethernet connection"", ""Sun loungers"", ""Gym"", ""Hangers"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Air conditioning"", ""Iron"", ""Clothing storage: closet, wardrobe, and dresser"", ""Bed linens"", ""Outdoor dining area"", ""Shampoo"", ""Mosquito net"", ""Bathtub"", ""Wine glasses"", ""Dining table"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Board games"", ""Private patio or balcony"", ""Children\u2019s books and toys for ages 2-5 years old and 5-10 years old"", ""Free parking on premises"", ""Kitchen"", ""Lock on bedroom door"", ""Free street parking"", ""Body soap"", ""Pitsos single oven"", ""Fire extinguisher"", ""Elevator"", ""Marley sound system with Bluetooth and aux"", ""Wifi"", ""Coffee maker""]",45.0,1,365,1,1,365,365,1.0,365.0,0,0,7,282,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1,0,1,0,0.9
130,130,4178088,2024-12-25,city scrape,443874,within an hour,100%,100%,f,4,6,"['email', 'phone']","Athina, Attica, Greece",37.97627,23.72345,Private room in home,Private room,2,1.0,1.0,2.0,"[""Resort view"", ""Coffee"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Shower gel"", ""Toaster"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Olive oil ,green soap body soap"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Drying rack for clothing"", ""Portable heater"", ""Bidet"", ""Bosch stainless steel electric stove"", ""Pets allowed"", ""Hangers"", ""Freezer"", ""Hot water"", ""Books and reading material"", ""Oven"", ""Blender"", ""Laundromat nearby"", ""Baking sheet"", ""Paid washer \u2013 In unit"", ""Hammock"", ""City skyline view"", ""Paid parking off premises"", ""Iron"", ""Room-darkening shades"", ""Clothing storage: closet, wardrobe, and dresser"", ""Cleaning available during stay"", ""Mountain view"", ""Bed linens"", ""Mini fridge"", ""Outdoor dining area"", ""Shampoo"", ""Coffee maker: drip coffee maker, espresso machine"", ""Dishwasher"", ""Smoke alarm"", ""Hot water kettle"", ""Wine glasses"", ""First aid kit"", ""Dining table"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Lenor conditioner"", ""Barbecue utensils"", ""Mini golf"", ""Kitchen"", ""Lock on bedroom door"", ""Rice maker"", ""Shared patio or balcony"", ""Fire extinguisher"", ""TV with standard cable"", ""Portable fans"", ""Wifi""]",37.0,1,15,1,1,15,15,1.0,15.0,29,59,89,89,234,23,0,4.48,4.58,4.43,4.77,4.71,4.89,4.55,00000599067,4,2,2,0,1.98
172,172,2725897,2024-12-25,city scrape,13948712,within an hour,100%,100%,t,2,2,"['email', 'phone']","Athens, Attica, Greece",37.97186,23.74679,Private room in condo,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Exterior security cameras on property"", ""Smoking allowed"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Dishwasher"", ""First aid kit"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Shared patio or balcony"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",38.0,2,15,2,2,1125,1125,2.0,1125.0,11,41,66,73,407,52,0,4.92,4.97,4.91,4.96,4.96,4.87,4.93,00000233294,2,0,2,0,3.13
182,182,2751269,2024-12-25,city scrape,13948712,within an hour,100%,100%,t,2,2,"['email', 'phone']","Athens, Attica, Greece",37.97159,23.74666,Private room in condo,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""Washer"", ""Exterior security cameras on property"", ""Smoking allowed"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Pets allowed"", ""Hangers"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Dishwasher"", ""First aid kit"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",38.0,2,15,2,2,1125,1125,2.0,1125.0,11,41,47,47,403,55,1,4.93,4.95,4.96,4.96,4.96,4.88,4.94,00000233319,2,0,2,0,3.11
190,190,5428088,2024-12-25,city scrape,2089542,within an hour,100%,92%,f,55,77,"['email', 'phone']","Athina, Koukaki, Centre, Greece",37.96364,23.72181,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Dishes and silverware"", ""Washer"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""First aid kit"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""Wifi"", ""Coffee maker""]",41.0,1,5,1,1,5,5,1.0,5.0,29,59,89,361,281,3,0,4.8,4.9,4.92,4.82,4.88,4.72,4.77,00000164488,53,11,42,0,2.4
200,200,2973483,2024-12-25,city scrape,15167857,,,0%,f,2,2,"['email', 'phone']","Athens, Attica, Greece",37.97809,23.72315,Private room in home,Private room,2,1.0,1.0,1.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Smoking allowed"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Stove"", ""Microwave"", ""Shampoo"", ""BBQ grill"", ""First aid kit"", ""Free street parking"", ""Kitchen"", ""Fire extinguisher"", ""Wifi"", ""Coffee maker""]",123.0,1,20,1,1,20,20,1.0,20.0,0,0,0,1,189,0,0,4.59,4.74,4.54,4.86,4.79,4.9,4.61,00000477435,2,1,1,0,1.47
218,218,3314818,2024-12-25,city scrape,13406254,,,,f,1,1,['phone'],,38.00628,23.72081,Private room in rental unit,Private room,4,1.5,1.0,2.0,[],1050.0,12,1125,12,12,1125,1125,12.0,1125.0,30,60,90,365,0,0,0,,,,,,,,,1,0,1,0,
