,Unnamed: 0,id,last_scraped,source,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1094,1094,20065196,2024-12-25,city scrape,129000409,within an hour,99%,99%,f,252,284,"['email', 'phone']",,37.97965,23.73808,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Dishes and silverware"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Self check-in"", ""Lockbox"", ""Hangers"", ""Dryer"", ""Freezer"", ""High chair"", ""Crib"", ""Hot water"", ""Stove"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Kitchen"", ""Elevator"", ""Wifi"", ""Coffee maker""]",$72.00,1,1125,1,4,1125,1125,3.4,1125.0,22,47,77,348,32,4,0,4.66,4.72,4.72,4.69,4.59,4.66,4.5,00000525232,24,24,0,0,0.42
1095,1095,20080484,2024-12-25,city scrape,129000409,within an hour,99%,99%,f,252,284,"['email', 'phone']",,37.97909,23.7359,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Host greets you"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Hangers"", ""Dryer"", ""High chair"", ""Crib"", ""Hot water"", ""Stove"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Coffee maker: Nespresso"", ""Hot water kettle"", ""Kitchen"", ""Elevator"", ""Wifi""]",$78.00,1,1125,1,4,1125,1125,3.4,1125.0,26,54,84,355,79,3,0,4.52,4.58,4.85,4.59,4.62,4.78,4.49,00000525221,24,24,0,0,0.89
1096,1096,20080487,2024-12-25,city scrape,129000409,within an hour,99%,99%,f,252,284,"['email', 'phone']",,37.98097,23.73623,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Host greets you"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Hangers"", ""Dryer"", ""High chair"", ""Crib"", ""Hot water"", ""Stove"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Coffee maker: Nespresso"", ""Hot water kettle"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Wifi""]",$75.00,1,1125,1,4,1125,1125,3.4,1125.0,16,44,74,345,44,11,0,4.77,4.75,4.89,4.91,4.66,4.91,4.68,00000525210,24,24,0,0,0.52
1673,1673,25135178,2024-12-25,city scrape,189967864,within an hour,98%,98%,f,64,66,"['email', 'phone']","Athina, Greece",37.99422,23.72345,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Host greets you"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Ethernet connection"", ""Hangers"", ""Hot water"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Free street parking"", ""Kitchen"", ""Elevator"", ""TV with standard cable"", ""Wifi""]",$30.00,3,1125,3,3,1125,1125,3.0,1125.0,30,60,90,365,13,1,0,4.54,4.46,4.54,4.62,4.62,4.23,4.62,00000978646,40,40,0,0,0.16
1817,1817,26390070,2024-12-25,city scrape,129000409,within an hour,99%,99%,f,252,284,"['email', 'phone']",,37.98286,23.71785,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""Exterior security cameras on property"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Self check-in"", ""Private entrance"", ""Hangers"", ""Dryer"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Smart lock"", ""Microwave"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Coffee maker: Nespresso"", ""Backyard"", ""Kitchen"", ""Wifi""]",$70.00,1,1125,1,3,1125,1125,2.8,1125.0,22,52,82,357,11,0,0,4.36,4.64,4.82,3.82,4.45,4.36,4.18,1123921,24,24,0,0,0.26
1823,1823,25775949,2024-12-25,city scrape,187720552,within an hour,97%,84%,f,46,68,"['email', 'phone']",,38.01431,23.72697,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,"[""Dishes and silverware"", ""Washer"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Oven"", ""Stove"", ""Air conditioning"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Kitchen"", ""Fire extinguisher"", ""Elevator"", ""Wifi""]",$110.00,12,150,12,12,150,150,12.0,150.0,29,59,89,179,20,0,0,4.6,4.7,4.4,5.0,5.0,4.7,4.75,00000450581,44,19,25,0,0.25
1926,1926,26870993,2024-12-25,city scrape,189967864,within an hour,98%,98%,f,64,66,"['email', 'phone']",,38.0035,23.73234,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Air conditioning"", ""Kitchen"", ""Iron"", ""Washer"", ""Hangers"", ""Bed linens"", ""TV"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Hot water"", ""Elevator"", ""Heating"", ""Cooking basics"", ""Wifi""]",$50.00,1,1125,1,1,1125,1125,1.0,1125.0,29,59,89,364,12,3,0,4.67,4.83,4.75,4.92,4.83,4.17,4.58,00000979810,40,40,0,0,0.15
2019,2019,27284094,2024-12-25,city scrape,93001098,within an hour,99%,99%,f,6,6,"['email', 'phone']",,37.99052,23.73748,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Dishes and silverware"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Dedicated workspace"", ""Self check-in"", ""Cooking basics"", ""Lockbox"", ""Private entrance"", ""Hangers"", ""Hot water"", ""Oven"", ""Stove"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Room-darkening shades"", ""Bed linens"", ""Shampoo"", ""Dishwasher"", ""First aid kit"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Wifi"", ""Coffee maker""]",$34.00,2,20,1,3,20,20,3.0,20.0,17,47,77,349,363,52,4,4.63,4.73,4.75,4.8,4.78,4.55,4.7,01202920782,6,2,4,0,4.67
2052,2052,28174622,2024-12-25,city scrape,129000409,within an hour,99%,99%,f,252,284,"['email', 'phone']",,37.98078,23.73631,Entire rental unit,Entire home/apt,9,2.0,3.0,5.0,"[""Dishes and silverware"", ""Washer"", ""Exterior security cameras on property"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Self check-in"", ""Hangers"", ""Patio or balcony"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Smart lock"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Coffee maker: Nespresso"", ""Hot water kettle"", ""Kitchen"", ""Body soap"", ""Elevator"", ""Wifi""]",$174.00,1,1125,1,5,1125,1125,3.7,1125.0,19,47,77,352,24,1,0,4.58,4.29,4.79,4.63,4.79,4.79,4.58,1076514,24,24,0,0,0.34
2059,2059,28174624,2024-12-25,city scrape,129000409,within an hour,99%,99%,f,252,284,"['email', 'phone']",,37.98064,23.73752,Entire rental unit,Entire home/apt,7,2.5,2.0,4.0,"[""Dishes and silverware"", ""Exterior security cameras on property"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Essentials"", ""Heating"", ""Self check-in"", ""Hangers"", ""Patio or balcony"", ""High chair"", ""Crib"", ""Hot water"", ""Oven"", ""Stove"", ""Smart lock"", ""Long term stays allowed"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Coffee maker: Nespresso"", ""Hot water kettle"", ""Kitchen"", ""Body soap"", ""Elevator"", ""Wifi""]",$167.00,1,1125,1,5,1125,1125,3.7,1125.0,20,50,80,355,87,4,0,4.7,4.78,4.77,4.69,4.71,4.93,4.69,1076514,24,24,0,0,1.17
